PlayerId,Name,Transition,From_Level,To_Level,From_Season,To_Season,From_PA,From_SB,From_SB_rate,To_PA,To_SB,To_SB_rate,Translation,Era
447,Melky Mesa,A+->AA,A+,AA,2010,2011,509,31,0.060903732809430254,436,18,0.04128440366972477,0.677863273157739,2006-2014
616,Cole Garner,A->A+,A,A+,2006,2007,512,35,0.068359375,352,7,0.019886363636363636,0.2909090909090909,2006-2014
616,Cole Garner,A+->AA,A+,AA,2008,2009,206,7,0.03398058252427184,440,13,0.029545454545454545,0.8694805194805195,2006-2014
629,Brandon Barnes,R->A,R,A,2006,2008,191,5,0.02617801047120419,337,7,0.020771513353115726,0.7934718100890208,2006-2014
629,Brandon Barnes,A->A+,A,A+,2008,2009,337,7,0.020771513353115726,291,1,0.003436426116838488,0.16543937162493863,2006-2014
697,J.P. Arencibia,AA->AAA,AA,AAA,2008,2009,275,0,0.0,500,0,0.0,,2006-2014
697,J.P. Arencibia,AAA->MLB,AAA,MLB,2010,2011,459,0,0.0,486,1,0.00205761316872428,,2006-2014
785,Todd Frazier,R->A,R,A,2007,2008,186,3,0.016129032258064516,127,4,0.031496062992125984,1.952755905511811,2006-2014
785,Todd Frazier,A+->AA,A+,AA,2008,2009,414,8,0.01932367149758454,500,7,0.014,0.7245,2006-2014
785,Todd Frazier,AA->AAA,AA,AAA,2009,2010,500,7,0.014,538,14,0.026022304832713755,1.858736059479554,2006-2014
785,Todd Frazier,AAA->MLB,AAA,MLB,2010,2011,538,14,0.026022304832713755,121,1,0.008264462809917356,0.31759149940968123,2006-2014
877,John Hester,A+->AA,A+,AA,2007,2008,320,4,0.0125,331,3,0.00906344410876133,0.7250755287009064,2006-2014
914,Brennan Boesch,A->A+,A,A+,2007,2008,542,15,0.027675276752767528,461,3,0.006507592190889371,0.23514099783080258,2006-2014
914,Brennan Boesch,A+->AA,A+,AA,2008,2009,461,3,0.006507592190889371,571,11,0.01926444833625219,2.9603035610040864,2006-2014
957,Matt Downs,AAA->MLB,AAA,MLB,2008,2010,94,1,0.010638297872340425,109,0,0.0,0.0,2006-2014
1050,Danny Dorn,AA->AAA,AA,AAA,2008,2009,388,1,0.002577319587628866,396,2,0.005050505050505051,1.9595959595959598,2006-2014
1136,Carlos Rivero,R->A,R,A,2006,2007,220,0,0.0,490,1,0.0020408163265306124,,2006-2014
1136,Carlos Rivero,A->A+,A,A+,2007,2008,490,1,0.0020408163265306124,455,1,0.002197802197802198,1.0769230769230769,2006-2014
1136,Carlos Rivero,A+->AA,A+,AA,2008,2009,455,1,0.002197802197802198,546,1,0.0018315018315018315,0.8333333333333334,2006-2014
1136,Carlos Rivero,AA->AAA,AA,AAA,2011,2012,538,5,0.00929368029739777,498,6,0.012048192771084338,1.2963855421686747,2006-2014
1159,Andrew Romine,R->A,R,A,2007,2008,249,12,0.04819277108433735,543,62,0.1141804788213628,2.369244935543278,2006-2014
1159,Andrew Romine,A->A+,A,A+,2008,2009,543,62,0.1141804788213628,555,26,0.04684684684684685,0.4102877070619006,2006-2014
1159,Andrew Romine,A+->AA,A+,AA,2009,2010,555,26,0.04684684684684685,454,21,0.046255506607929514,0.9873771602846493,2006-2014
1165,Chris Valaika,R->A,R,A,2006,2007,315,2,0.006349206349206349,331,1,0.0030211480362537764,0.47583081570996977,2006-2014
1165,Chris Valaika,A+->AA,A+,AA,2007,2008,241,0,0.0,417,7,0.016786570743405275,,2006-2014
1165,Chris Valaika,AA->AAA,AA,AAA,2008,2009,417,7,0.016786570743405275,392,1,0.002551020408163265,0.1519679300291545,2006-2014
1191,Chris Johnson,A+->AA,A+,AA,2007,2008,240,1,0.004166666666666667,358,5,0.013966480446927373,3.35195530726257,2006-2014
1191,Chris Johnson,AAA->MLB,AAA,MLB,2009,2010,412,2,0.0048543689320388345,362,3,0.008287292817679558,1.707182320441989,2006-2014
1433,Wilson Ramos,R->A,R,A,2006,2007,172,4,0.023255813953488372,316,1,0.0031645569620253164,0.1360759493670886,2006-2014
1433,Wilson Ramos,A->A+,A,A+,2007,2008,316,1,0.0031645569620253164,500,0,0.0,0.0,2006-2014
1433,Wilson Ramos,A+->AA,A+,AA,2008,2009,500,0,0.0,214,0,0.0,,2006-2014
1433,Wilson Ramos,AA->AAA,AA,AAA,2009,2010,214,0,0.0,377,1,0.002652519893899204,,2006-2014
1433,Wilson Ramos,AAA->MLB,AAA,MLB,2010,2011,377,1,0.002652519893899204,435,0,0.0,0.0,2006-2014
1483,Jon Edwards,R->A,R,A,2007,2008,220,0,0.0,89,2,0.02247191011235955,,2006-2014
1581,Sean Doolittle,A->A+,A,A+,2007,2008,222,1,0.0045045045045045045,384,7,0.018229166666666668,4.046875,2006-2014
1581,Sean Doolittle,AA->AAA,AA,AAA,2008,2009,219,1,0.0045662100456621,121,0,0.0,0.0,2006-2014
1907,Andrés Blanco,AAA->MLB,AAA,MLB,2008,2009,330,9,0.02727272727272727,138,0,0.0,0.0,2006-2014
1965,Desmond Jennings,R->A,R,A,2006,2007,246,32,0.13008130081300814,448,45,0.10044642857142858,0.7721819196428571,2006-2014
1965,Desmond Jennings,A->A+,A,A+,2007,2008,448,45,0.10044642857142858,102,5,0.049019607843137254,0.48801742919389973,2006-2014
1965,Desmond Jennings,A+->AA,A+,AA,2008,2009,102,5,0.049019607843137254,442,37,0.083710407239819,1.7076923076923076,2006-2014
1965,Desmond Jennings,AAA->MLB,AAA,MLB,2010,2011,458,37,0.08078602620087336,287,20,0.06968641114982578,0.8626047650437895,2006-2014
2020,Brad Emaus,A+->AA,A+,AA,2008,2009,543,12,0.022099447513812154,581,10,0.01721170395869191,0.7788296041308089,2006-2014
2020,Brad Emaus,AA->AAA,AA,AAA,2009,2010,581,10,0.01721170395869191,364,8,0.02197802197802198,1.276923076923077,2006-2014
2066,Eric Farris,R->A,R,A,2007,2008,269,21,0.07806691449814127,492,32,0.06504065040650407,0.8331397599690283,2006-2014
2066,Eric Farris,A->A+,A,A+,2008,2009,492,32,0.06504065040650407,534,70,0.13108614232209737,2.0154494382022468,2006-2014
2199,Ivan Ochoa,AA->AAA,AA,AAA,2006,2007,389,20,0.05141388174807198,196,8,0.04081632653061224,0.793877551020408,2006-2014
2199,Ivan Ochoa,AAA->MLB,AAA,MLB,2007,2008,196,8,0.04081632653061224,135,0,0.0,0.0,2006-2014
2264,Héctor Gómez,R->A,R,A,2006,2007,221,5,0.02262443438914027,578,20,0.03460207612456748,1.5294117647058825,2006-2014
2264,Héctor Gómez,A->A+,A,A+,2007,2009,578,20,0.03460207612456748,368,10,0.02717391304347826,0.7853260869565216,2006-2014
2264,Héctor Gómez,A+->AA,A+,AA,2009,2011,368,10,0.02717391304347826,453,16,0.03532008830022075,1.2997792494481237,2006-2014
2280,Matt LaPorta,AA->AAA,AA,AAA,2008,2009,433,2,0.004618937644341801,394,1,0.0025380710659898475,0.549492385786802,2006-2014
2312,Dusty Ryan,A->A+,A,A+,2006,2007,375,3,0.008,168,0,0.0,0.0,2006-2014
2312,Dusty Ryan,A+->AA,A+,AA,2007,2008,168,0,0.0,338,2,0.005917159763313609,,2006-2014
2369,Lance Zawadzki,A->A+,A,A+,2008,2009,520,28,0.05384615384615385,164,3,0.018292682926829267,0.3397212543554007,2006-2014
2396,Carlos Santana,R->A,R,A,2006,2007,168,4,0.023809523809523808,334,5,0.014970059880239521,0.62874251497006,2006-2014
2396,Carlos Santana,A+->AA,A+,AA,2008,2009,560,10,0.017857142857142856,535,2,0.003738317757009346,0.20934579439252338,2006-2014
2396,Carlos Santana,AA->AAA,AA,AAA,2009,2010,535,2,0.003738317757009346,246,6,0.024390243902439025,6.524390243902439,2006-2014
2411,Jose Tabata,A->A+,A,A+,2006,2007,363,15,0.04132231404958678,456,15,0.03289473684210526,0.7960526315789473,2006-2014
2411,Jose Tabata,A+->AA,A+,AA,2007,2008,456,15,0.03289473684210526,429,18,0.04195804195804196,1.2755244755244757,2006-2014
2411,Jose Tabata,AA->AAA,AA,AAA,2008,2009,429,18,0.04195804195804196,148,4,0.02702702702702703,0.6441441441441441,2006-2014
2411,Jose Tabata,AAA->MLB,AAA,MLB,2009,2010,148,4,0.02702702702702703,441,19,0.04308390022675737,1.5941043083900226,2006-2014
2430,Darwin Barney,A->A+,A,A+,2007,2008,192,5,0.026041666666666668,459,8,0.017429193899782137,0.669281045751634,2006-2014
2430,Darwin Barney,A+->AA,A+,AA,2008,2009,459,8,0.017429193899782137,284,5,0.017605633802816902,1.0101232394366197,2006-2014
2430,Darwin Barney,AAA->MLB,AAA,MLB,2010,2011,514,11,0.021400778210116732,571,9,0.01576182136602452,0.7365069256487821,2006-2014
2481,Luis Martinez,A->A+,A,A+,2008,2009,364,3,0.008241758241758242,321,2,0.006230529595015576,0.7559709241952233,2006-2014
2487,Ed Easley,A+->AA,A+,AA,2009,2010,440,0,0.0,184,5,0.02717391304347826,,2006-2014
2495,Pedro Álvarez,AA->AAA,AA,AAA,2009,2010,258,1,0.003875968992248062,278,4,0.014388489208633094,3.7122302158273386,2006-2014
2498,Jemile Weeks,A->A+,A,A+,2008,2009,90,6,0.06666666666666667,232,5,0.021551724137931036,0.3232758620689655,2006-2014
2498,Jemile Weeks,AA->AAA,AA,AAA,2010,2011,312,11,0.035256410256410256,217,10,0.04608294930875576,1.3070800167574361,2006-2014
2502,Lucas Duda,A+->AA,A+,AA,2008,2009,559,2,0.0035778175313059034,467,2,0.004282655246252677,1.1970021413276233,2006-2014
2502,Lucas Duda,AA->AAA,AA,AAA,2009,2010,467,2,0.004282655246252677,298,0,0.0,0.0,2006-2014
2502,Lucas Duda,AAA->MLB,AAA,MLB,2010,2011,298,0,0.0,347,1,0.002881844380403458,,2006-2014
2505,Hank Conger,A->A+,A,A+,2007,2008,320,9,0.028125,318,2,0.006289308176100629,0.2236198462613557,2006-2014
2505,Hank Conger,A+->AA,A+,AA,2008,2009,318,2,0.006289308176100629,525,3,0.005714285714285714,0.9085714285714285,2006-2014
2505,Hank Conger,AA->AAA,AA,AAA,2009,2010,525,3,0.005714285714285714,452,0,0.0,0.0,2006-2014
2505,Hank Conger,AAA->MLB,AAA,MLB,2010,2011,452,0,0.0,197,0,0.0,,2006-2014
2510,Josh Bell,R->A,R,A,2006,2007,276,4,0.014492753623188406,439,5,0.011389521640091117,0.785876993166287,2006-2014
2510,Josh Bell,A->A+,A,A+,2007,2008,439,5,0.011389521640091117,223,4,0.017937219730941704,1.5748878923766816,2006-2014
2510,Josh Bell,A+->AA,A+,AA,2008,2009,223,4,0.017937219730941704,519,3,0.005780346820809248,0.3222543352601156,2006-2014
2510,Josh Bell,AA->AAA,AA,AAA,2009,2010,519,3,0.005780346820809248,345,2,0.005797101449275362,1.0028985507246377,2006-2014
2530,Yonder Alonso,AA->AAA,AA,AAA,2009,2010,121,1,0.008264462809917356,445,9,0.020224719101123594,2.447191011235955,2006-2014
2530,Yonder Alonso,AAA->MLB,AAA,MLB,2011,2012,409,6,0.014669926650366748,619,3,0.004846526655896607,0.33037156704361875,2006-2014
2539,Pete Kozma,R->A,R,A,2007,2008,135,3,0.022222222222222223,434,12,0.027649769585253458,1.2442396313364055,2006-2014
2539,Pete Kozma,A+->AA,A+,AA,2008,2009,94,0,0.0,459,4,0.008714596949891068,,2006-2014
2539,Pete Kozma,AA->AAA,AA,AAA,2010,2011,570,13,0.02280701754385965,448,2,0.004464285714285714,0.1957417582417582,2006-2014
2539,Pete Kozma,AAA->MLB,AAA,MLB,2012,2013,500,7,0.014,448,3,0.006696428571428571,0.47831632653061223,2006-2014
2554,Chris Parmelee,R->A,R,A,2006,2007,179,3,0.01675977653631285,501,8,0.015968063872255488,0.9527611443779108,2006-2014
2554,Chris Parmelee,A->A+,A,A+,2008,2009,289,3,0.010380622837370242,501,2,0.003992015968063872,0.38456420492348636,2006-2014
2554,Chris Parmelee,A+->AA,A+,AA,2009,2010,501,2,0.003992015968063872,463,3,0.0064794816414686825,1.6231101511879051,2006-2014
2554,Chris Parmelee,AA->AAA,AA,AAA,2011,2012,610,0,0.0,282,1,0.0035460992907801418,,2006-2014
2567,Bryan Petersen,A+->AA,A+,AA,2008,2009,175,7,0.04,494,13,0.02631578947368421,0.6578947368421052,2006-2014
2567,Bryan Petersen,AA->AAA,AA,AAA,2009,2010,494,13,0.02631578947368421,369,5,0.013550135501355014,0.5149051490514905,2006-2014
2567,Bryan Petersen,AAA->MLB,AAA,MLB,2010,2011,369,5,0.013550135501355014,241,7,0.029045643153526972,2.1435684647302904,2006-2014
2578,Peter Bourjos,R->A,R,A,2006,2007,279,13,0.04659498207885305,270,19,0.07037037037037037,1.5102564102564102,2006-2014
2578,Peter Bourjos,A->A+,A,A+,2007,2008,270,19,0.07037037037037037,545,50,0.09174311926605505,1.3037180106228874,2006-2014
2578,Peter Bourjos,A+->AA,A+,AA,2008,2009,545,50,0.09174311926605505,504,32,0.06349206349206349,0.6920634920634919,2006-2014
2578,Peter Bourjos,AA->AAA,AA,AAA,2009,2010,504,32,0.06349206349206349,455,27,0.05934065934065934,0.9346153846153846,2006-2014
2591,Michael Taylor,A+->AA,A+,AA,2008,2009,266,5,0.018796992481203006,363,18,0.049586776859504134,2.63801652892562,2006-2014
2616,Zack Cozart,AA->AAA,AA,AAA,2009,2010,541,10,0.018484288354898338,610,30,0.04918032786885246,2.660655737704918,2006-2014
2616,Zack Cozart,AAA->MLB,AAA,MLB,2010,2012,610,30,0.04918032786885246,600,4,0.006666666666666667,0.13555555555555557,2006-2014
2621,Ryan Rohlinger,A->A+,A,A+,2007,2008,586,3,0.005119453924914676,322,5,0.015527950310559006,3.0331262939958594,2006-2014
2636,Brandon Guyer,R->A,R,A,2007,2008,81,6,0.07407407407407407,363,22,0.06060606060606061,0.8181818181818182,2006-2014
2636,Brandon Guyer,A->A+,A,A+,2008,2009,363,22,0.06060606060606061,305,23,0.07540983606557378,1.2442622950819673,2006-2014
2650,Corey Brown,A+->AA,A+,AA,2008,2009,214,4,0.018691588785046728,281,5,0.017793594306049824,0.9519572953736657,2006-2014
2650,Corey Brown,AA->AAA,AA,AAA,2009,2010,281,5,0.017793594306049824,148,3,0.02027027027027027,1.1391891891891892,2006-2014
2677,Jordan Pacheco,R->A,R,A,2007,2009,224,3,0.013392857142857142,507,12,0.023668639053254437,1.7672583826429982,2006-2014
2677,Jordan Pacheco,A->A+,A,A+,2009,2010,507,12,0.023668639053254437,460,5,0.010869565217391304,0.4592391304347826,2006-2014
2777,Aaron Bates,A->A+,A,A+,2006,2007,174,0,0.0,465,0,0.0,,2006-2014
2783,Johnny Monell,R->A,R,A,2007,2009,93,3,0.03225806451612903,333,4,0.012012012012012012,0.37237237237237236,2006-2014
2783,Johnny Monell,A->A+,A,A+,2009,2010,333,4,0.012012012012012012,472,12,0.025423728813559324,2.1165254237288136,2006-2014
2784,Derrick Robinson,R->A,R,A,2006,2007,208,20,0.09615384615384616,449,34,0.0757238307349666,0.7875278396436526,2006-2014
2784,Derrick Robinson,A->A+,A,A+,2007,2008,449,34,0.0757238307349666,556,62,0.11151079136690648,1.4725983918747354,2006-2014
2784,Derrick Robinson,A+->AA,A+,AA,2009,2010,571,69,0.12084063047285463,570,50,0.08771929824561403,0.7259089753368929,2006-2014
2784,Derrick Robinson,AA->AAA,AA,AAA,2011,2012,483,55,0.11387163561076605,488,23,0.0471311475409836,0.4138971684053651,2006-2014
2784,Derrick Robinson,AAA->MLB,AAA,MLB,2012,2013,488,23,0.0471311475409836,216,4,0.018518518518518517,0.392914653784219,2006-2014
2802,Tony Cruz,A->A+,A,A+,2007,2008,216,3,0.013888888888888888,378,3,0.007936507936507936,0.5714285714285714,2006-2014
2802,Tony Cruz,A+->AA,A+,AA,2008,2009,378,3,0.007936507936507936,444,1,0.0022522522522522522,0.28378378378378377,2006-2014
2802,Tony Cruz,AA->AAA,AA,AAA,2010,2011,169,0,0.0,164,0,0.0,,2006-2014
2802,Tony Cruz,AAA->MLB,AAA,MLB,2011,2012,164,0,0.0,131,0,0.0,,2006-2014
2829,Manny Piña,A->A+,A,A+,2007,2008,306,0,0.0,244,1,0.004098360655737705,,2006-2014
2829,Manny Piña,AA->AAA,AA,AAA,2010,2011,302,0,0.0,259,0,0.0,,2006-2014
2830,Travis Snider,R->A,R,A,2006,2007,226,6,0.02654867256637168,517,3,0.005802707930367505,0.21856866537717604,2006-2014
2830,Travis Snider,AA->AAA,AA,AAA,2008,2009,423,1,0.002364066193853428,204,2,0.00980392156862745,4.147058823529412,2006-2014
2832,Rafael Ynoa,R->A,R,A,2009,2010,135,5,0.037037037037037035,496,40,0.08064516129032258,2.1774193548387095,2006-2014
2832,Rafael Ynoa,A->A+,A,A+,2010,2011,496,40,0.08064516129032258,526,13,0.024714828897338403,0.3064638783269962,2006-2014
2832,Rafael Ynoa,A+->AA,A+,AA,2011,2012,526,13,0.024714828897338403,493,23,0.04665314401622718,1.887657980964269,2006-2014
2833,Cedric Hunter,R->A,R,A,2006,2007,262,17,0.0648854961832061,549,8,0.014571948998178506,0.22457944926604523,2006-2014
2833,Cedric Hunter,A->A+,A,A+,2007,2008,549,8,0.014571948998178506,641,12,0.0187207488299532,1.2847113884555383,2006-2014
2833,Cedric Hunter,A+->AA,A+,AA,2008,2009,641,12,0.0187207488299532,577,13,0.022530329289428077,1.2034950895436165,2006-2014
2833,Cedric Hunter,AA->AAA,AA,AAA,2009,2010,577,13,0.022530329289428077,285,5,0.017543859649122806,0.7786774628879891,2006-2014
2845,Joe Benson,R->A,R,A,2006,2007,221,9,0.04072398190045249,507,18,0.03550295857988166,0.8717948717948718,2006-2014
2845,Joe Benson,A->A+,A,A+,2008,2009,290,17,0.05862068965517241,327,14,0.04281345565749235,0.7303471847454578,2006-2014
2845,Joe Benson,A+->AA,A+,AA,2009,2010,327,14,0.04281345565749235,423,14,0.03309692671394799,0.7730496453900709,2006-2014
2845,Joe Benson,AA->AAA,AA,AAA,2011,2012,472,13,0.02754237288135593,108,4,0.037037037037037035,1.3447293447293447,2006-2014
2852,Chris Marrero,R->A,R,A,2006,2007,91,0,0.0,243,0,0.0,,2006-2014
2852,Chris Marrero,A+->AA,A+,AA,2008,2009,289,0,0.0,84,0,0.0,,2006-2014
2852,Chris Marrero,AA->AAA,AA,AAA,2010,2011,578,1,0.0017301038062283738,546,3,0.005494505494505495,3.175824175824176,2006-2014
2881,Scott Sizemore,A->A+,A,A+,2007,2008,530,16,0.03018867924528302,234,14,0.05982905982905983,1.981837606837607,2006-2014
2881,Scott Sizemore,A+->AA,A+,AA,2008,2009,234,14,0.05982905982905983,269,7,0.026022304832713755,0.4349442379182156,2006-2014
2881,Scott Sizemore,AAA->MLB,AAA,MLB,2009,2010,330,14,0.04242424242424243,163,0,0.0,0.0,2006-2014
2900,Roberto Pérez,R->A,R,A,2009,2010,154,4,0.025974025974025976,466,1,0.002145922746781116,0.08261802575107295,2006-2014
2900,Roberto Pérez,A->A+,A,A+,2010,2011,466,1,0.002145922746781116,351,1,0.002849002849002849,1.3276353276353277,2006-2014
2900,Roberto Pérez,A+->AA,A+,AA,2011,2012,351,1,0.002849002849002849,349,0,0.0,0.0,2006-2014
2900,Roberto Pérez,AA->AAA,AA,AAA,2012,2013,349,0,0.0,222,0,0.0,,2006-2014
2900,Roberto Pérez,AAA->MLB,AAA,MLB,2013,2015,222,0,0.0,226,0,0.0,,2006-2014
2905,Eider Torres,AA->AAA,AA,AAA,2006,2007,475,41,0.0863157894736842,436,22,0.05045871559633028,0.5845826806891923,2006-2014
2923,Luis Montanez,AAA->MLB,AAA,MLB,2006,2008,269,0,0.0,117,0,0.0,,2006-2014
2967,Tommy Pham,R->A,R,A,2006,2008,216,12,0.05555555555555555,346,17,0.049132947976878616,0.8843930635838151,2006-2014
2967,Tommy Pham,A+->AA,A+,AA,2009,2010,380,18,0.04736842105263158,140,4,0.02857142857142857,0.6031746031746031,2006-2014
3086,Mitch Moreland,A->A+,A,A+,2008,2009,533,2,0.00375234521575985,197,1,0.005076142131979695,1.3527918781725887,2006-2014
3086,Mitch Moreland,AA->AAA,AA,AAA,2009,2010,327,1,0.0030581039755351682,412,2,0.0048543689320388345,1.5873786407766988,2006-2014
3096,Kenley Jansen,R->A,R,A,2007,2008,215,0,0.0,277,3,0.010830324909747292,,2006-2014
3096,Kenley Jansen,A->A+,A,A+,2008,2009,277,3,0.010830324909747292,98,0,0.0,0.0,2006-2014
3123,Grégor Blanco,AAA->MLB,AAA,MLB,2007,2008,545,23,0.04220183486238532,519,13,0.025048169556840076,0.59353271341208,2006-2014
3129,Alex Romero,AAA->MLB,AAA,MLB,2007,2008,584,12,0.02054794520547945,142,4,0.028169014084507043,1.3708920187793427,2006-2014
3131,Wladimir Balentien,AA->AAA,AA,AAA,2006,2007,522,14,0.02681992337164751,544,15,0.027573529411764705,1.0280987394957983,2006-2014
3131,Wladimir Balentien,AAA->MLB,AAA,MLB,2007,2008,544,15,0.027573529411764705,260,0,0.0,0.0,2006-2014
3142,Robinson Chirinos,A->A+,A,A+,2006,2007,529,19,0.035916824196597356,293,8,0.027303754266211604,0.7601940003592599,2006-2014
3154,Domonic Brown,R->A,R,A,2006,2008,131,13,0.09923664122137404,516,22,0.04263565891472868,0.4296362552176506,2006-2014
3154,Domonic Brown,A->A+,A,A+,2008,2009,516,22,0.04263565891472868,280,15,0.05357142857142857,1.2564935064935066,2006-2014
3154,Domonic Brown,AA->AAA,AA,AAA,2009,2010,162,8,0.04938271604938271,118,5,0.0423728813559322,0.8580508474576272,2006-2014
3154,Domonic Brown,AAA->MLB,AAA,MLB,2010,2011,118,5,0.0423728813559322,210,3,0.014285714285714285,0.33714285714285713,2006-2014
3188,Luis Alfonso Cruz,AA->AAA,AA,AAA,2006,2007,539,8,0.014842300556586271,167,0,0.0,0.0,2006-2014
3206,Luis Hernandez,AA->AAA,AA,AAA,2007,2008,393,6,0.015267175572519083,216,2,0.009259259259259259,0.6064814814814815,2006-2014
3209,Julio Borbon,AA->AAA,AA,AAA,2008,2009,280,17,0.060714285714285714,457,25,0.05470459518599562,0.9010168618869867,2006-2014
3211,Tyler Ladendorf,R->A,R,A,2008,2009,175,6,0.03428571428571429,210,4,0.01904761904761905,0.5555555555555556,2006-2014
3211,Tyler Ladendorf,A->A+,A,A+,2009,2010,210,4,0.01904761904761905,525,20,0.0380952380952381,2.0,2006-2014
3211,Tyler Ladendorf,A+->AA,A+,AA,2010,2011,525,20,0.0380952380952381,494,6,0.012145748987854251,0.3188259109311741,2006-2014
3231,Brayan Peña,AAA->MLB,AAA,MLB,2006,2009,352,6,0.017045454545454544,183,0,0.0,0.0,2006-2014
3248,Robinzon Díaz,A+->AA,A+,AA,2006,2007,447,8,0.017897091722595078,319,5,0.01567398119122257,0.8757836990595611,2006-2014
3248,Robinzon Díaz,AA->AAA,AA,AAA,2007,2008,319,5,0.01567398119122257,155,1,0.0064516129032258064,0.4116129032258065,2006-2014
3248,Robinzon Díaz,AAA->MLB,AAA,MLB,2008,2009,155,1,0.0064516129032258064,138,0,0.0,0.0,2006-2014
3256,Welington Castillo,A->A+,A,A+,2007,2008,353,1,0.0028328611898017,127,1,0.007874015748031496,2.779527559055118,2006-2014
3256,Welington Castillo,AA->AAA,AA,AAA,2009,2010,339,1,0.0029498525073746312,272,0,0.0,0.0,2006-2014
3256,Welington Castillo,AAA->MLB,AAA,MLB,2011,2012,251,0,0.0,190,0,0.0,,2006-2014
3274,Nevin Ashley,R->A,R,A,2006,2007,185,7,0.03783783783783784,490,20,0.04081632653061224,1.0787172011661805,2006-2014
3274,Nevin Ashley,A->A+,A,A+,2007,2008,490,20,0.04081632653061224,386,5,0.012953367875647668,0.3173575129533679,2006-2014
3274,Nevin Ashley,A+->AA,A+,AA,2008,2009,386,5,0.012953367875647668,139,0,0.0,0.0,2006-2014
3285,Argenis Reyes,A+->AA,A+,AA,2006,2007,586,24,0.040955631399317405,503,27,0.0536779324055666,1.3106361829025845,2006-2014
3298,Charlie Culberson,R->A,R,A,2007,2008,187,19,0.10160427807486631,313,6,0.019169329073482427,0.18866655456532705,2006-2014
3298,Charlie Culberson,A->A+,A,A+,2009,2010,558,15,0.026881720430107527,551,25,0.045372050816696916,1.6878402903811252,2006-2014
3298,Charlie Culberson,A+->AA,A+,AA,2010,2011,551,25,0.045372050816696916,587,14,0.02385008517887564,0.5256558773424191,2006-2014
3298,Charlie Culberson,AA->AAA,AA,AAA,2011,2012,587,14,0.02385008517887564,508,14,0.027559055118110236,1.155511811023622,2006-2014
3298,Charlie Culberson,AAA->MLB,AAA,MLB,2012,2013,508,14,0.027559055118110236,104,5,0.04807692307692308,1.7445054945054945,2006-2014
3299,Chris Hatcher,A->A+,A,A+,2007,2008,401,8,0.0199501246882793,235,3,0.01276595744680851,0.6398936170212766,2006-2014
3299,Chris Hatcher,A+->AA,A+,AA,2008,2009,235,3,0.01276595744680851,179,1,0.00558659217877095,0.43761638733705777,2006-2014
3310,Trent Oeltjen,AA->AAA,AA,AAA,2006,2007,464,23,0.04956896551724138,271,14,0.05166051660516605,1.0421947697737848,2006-2014
3312,Martín Prado,AAA->MLB,AAA,MLB,2007,2008,443,5,0.011286681715575621,254,3,0.011811023622047244,1.0464566929133858,2006-2014
