PlayerId,Name,Seasons,Season_Range,Total_PA,Skill_Score
7399,Billy Butler,2,2007-2008,371,68.41
501643,Miguel Perez,2,2007-2008,458,68.39
821270,Luis Peña,2,2024-2025,602,68.37
24759,Mickey Gasper,1,2018,172,68.33
822877,Luke Cantwell,1,2025,22,68.13
672565,Michael Chirinos,2,2017-2018,478,68.1
573656,Buck Afenir,1,2009,15,68.1
516798,Alexander Mejia,2,2007-2008,479,68.08
829037,Kevin Alvarez,1,2025,192,68.03
829741,Sebastian Dos Santos,1,2025,166,67.99
542549,Francisco De Los Santos,1,2008,11,67.94
517463,Roan Salas,4,2007-2010,777,67.88
680645,Deivi Munoz,1,2018,142,67.87
703151,William Bergolla Jr.,4,2022-2025,1219,67.86
808365,Dameury Pena,3,2023-2025,696,67.74
12861,Anthony Rendon,2,2012-2013,294,67.74
831918,Marco Argudin,1,2025,149,67.69
829714,Darwin Almanzar,1,2025,176,67.64
806621,Francisco Perez,1,2025,132,67.53
829939,Jhorman Bravo,1,2025,134,67.52
28253,Javier Sanoja,4,2021-2024,1783,67.49
15580,Dariel Álvarez,1,2013,83,67.45
660583,Lenin Rodriguez,3,2015-2017,371,67.45
20036,Isaac Paredes,5,2016-2022,1657,67.38
12371,Tommy La Stella,3,2011-2013,1000,67.37
9957,Steve Pearce,1,2007,551,67.35
544881,Donell Linares,1,2008,97,67.31
20521,Nick Madrigal,1,2018,173,67.28
9777,Nolan Arenado,6,2009-2014,1878,67.27
18848,Yohel Pozo,6,2014-2021,1577,67.21
808396,Jhocsuanth Vargas,2,2023-2024,163,67.17
829033,Elian Peña,1,2025,223,67.15
2151,Edwin Encarnación,1,2007,50,67.13
24729,Logan O'Hoppe,4,2018-2023,1031,67.02
29794,Kyle Manzardo,4,2021-2024,1226,67.01
27676,Vinnie Pasquantino,2,2021-2022,826,66.96
11400,Ronald Torreyes,6,2010-2015,2578,66.93
5409,Pablo Sandoval,3,2007-2011,931,66.92
14225,Yasiel Puig,3,2012-2015,277,66.88
807256,Josh Springer,1,2025,179,66.87
675925,Cullen Large,1,2018,112,66.82
11579,Bryce Harper,3,2011-2014,549,66.69
493544,Alex Silversmith,1,2008,85,66.68
829849,Matthew Moses,1,2025,144,66.59
682244,David Garza,1,2018,154,66.59
524388,Sam Deluca,1,2007,44,66.58
832703,Nauris De La Cruz,1,2025,143,66.55
570249,Samuel Gonzalez,3,2009-2013,382,66.55
516994,Luis Parache,3,2007-2009,560,66.54
815909,Luis Cova,2,2024-2025,447,66.53
492734,Kelvin Diaz,2,2007-2008,518,66.52
4940,Jason Heyward,4,2007-2013,1029,66.52
829052,Breyson Guedez,1,2025,210,66.44
15608,Willians Astudillo,7,2009-2016,2027,66.42
622578,Alsy Leon,1,2012,125,66.42
453319,Ray Stokes,1,2008,20,66.4
678664,Jim Caceres,1,2018,220,66.4
28163,Junior Caminero,4,2021-2024,1210,66.38
829924,Miguel Welch,1,2025,168,66.38
821045,Diorland Zambrano,2,2024-2025,302,66.38
488694,Bubba Bell,1,2007,541,66.36
687811,Chris Lanzilli,1,2022,28,66.34
823807,Kane Kepley,1,2025,131,66.34
825646,Juan Sanchez,1,2025,253,66.34
829943,Louis Andujar,1,2025,111,66.25
19612,Bo Bichette,3,2016-2018,1185,66.22
595858,Ulises Montilla,5,2010-2014,890,66.2
448750,David Pfeiffer,1,2010,22,66.13
20325,Alex Kirilloff,3,2016-2022,950,66.11
644401,Rubiel Martinez,1,2013,28,66.11
9417,Kris Medlen,1,2008,28,66.11
680479,Zachary Owings,1,2021,34,66.07
679334,Vladimir Dilone,1,2018,235,66.07
821171,Dauri Fernandez,2,2024-2025,392,66.0
825620,Angel Salio,1,2025,169,65.99
820943,Danny Cancro,2,2024-2025,265,65.97
700725,Juan Diaz,2,2021-2022,283,65.96
808090,José Mejía,3,2023-2025,370,65.94
805938,Luis Aparicio,2,2022-2023,219,65.91
10762,Corey Dickerson,4,2010-2013,1649,65.85
18568,Luis Arraez,5,2014-2018,1348,65.83
666462,Orian Nunez,3,2016-2018,616,65.8
518811,Darin Holcomb,2,2008-2009,1139,65.8
667671,Cody Brown,1,2018,17,65.78
606331,Renzo Martini,4,2011-2015,895,65.78
692443,Marlon Salazar,1,2021,39,65.76
642304,Pedro Mendoza,1,2013,65,65.73
542610,Manny Garcia,1,2008,43,65.7
672891,David Escobar,1,2017,191,65.68
17838,Willie Calhoun,4,2015-2018,1887,65.65
26467,Luis Matos,5,2021-2025,1717,65.64
821273,Edward Florentino,2,2024-2025,541,65.63
600929,Miguel Mendez,4,2011-2014,733,65.63
33189,Nolan Schanuel,1,2023,88,65.6
642769,Victor Acosta,4,2013-2018,964,65.6
823719,Ramiro Dominguez,2,2024-2025,315,65.6
24610,Steven Kwan,2,2018-2021,391,65.54
681836,Matt Sanders,1,2018,58,65.54
5417,Jose Altuve,5,2007-2011,1555,65.53
806068,Colt Emerson,3,2023-2025,1046,65.52
9166,Buster Posey,3,2008-2010,736,65.51
595158,Philip Cerreto,2,2010-2011,239,65.5
11173,Oscar Taveras,6,2009-2014,1859,65.49
594898,Pierre LePage,2,2010-2011,277,65.48
9393,Matt Adams,5,2009-2013,1439,65.48
699130,Jadher Areinamo,5,2021-2025,1921,65.48
518467,Robert Blauer,1,2008,36,65.47
830406,Alan Angulo,1,2025,168,65.41
689070,Spencer Packard,2,2021-2022,458,65.37
595125,Sam Bates,2,2012-2013,266,65.36
623391,Christopher Carlson,1,2015,460,65.36
572509,Alex Sanchez,3,2009-2011,464,65.35
669727,Tyler Lancaster,1,2016,64,65.35
821666,Santiago Camacho,2,2024-2025,294,65.33
665998,Ismael Munguia,5,2016-2023,1383,65.32
516613,Jairo Perez,5,2007-2012,968,65.31
672589,Juan Mendez,1,2017,151,65.27
19363,Austin Hays,2,2017-2018,851,65.26
828076,Dax Kilby,1,2025,81,65.26
20352,Ernie Clement,1,2018,471,65.24
821151,Yeiferth Castillo,2,2024-2025,367,65.24
608608,Carlos Munoz,7,2011-2017,1969,65.23
31680,Cole Young,4,2022-2025,1474,65.2
815888,Leo De Vries,2,2024-2025,896,65.18
571552,Brian Cavazos-Galvez,3,2009-2011,1279,65.16
595349,Mike O'Neill,2,2011-2012,615,65.15
666633,Abraham Rodriguez,1,2016,239,65.13
800406,Aron Estrada,4,2022-2025,1184,65.1
645167,Brandon Brown,1,2013,40,65.08
642342,Josue Matos,1,2013,63,65.07
31505,Sal Stewart,4,2022-2025,1378,65.07
29490,Jackson Merrill,3,2021-2023,881,65.07
681746,Ryan Asencio,1,2018,77,65.04
823727,Carlos  Garces,2,2024-2025,321,65.04
11493,Manny Machado,3,2011-2014,902,65.03
672588,Jose Villa,2,2017-2018,225,65.03
804911,Brendan Summerhill,1,2025,42,65.02
650974,Jose Suarez,1,2014,155,65.01
829061,Haritzon Castillo,1,2025,167,64.99
572865,Hawkins Gebbers,1,2010,83,64.99
17484,Eloy Jiménez,5,2014-2021,1494,64.99
4892,Mike Moustakas,5,2007-2011,1910,64.99
606233,Jonathan Linares,2,2011-2012,210,64.98
821100,Justin Gonzales,2,2024-2025,598,64.98
20538,Jose Miranda,5,2016-2022,1698,64.96
18345,Kyle Tucker,4,2015-2018,1740,64.96
570266,Nevri Jimenez,1,2009,139,64.96
825153,Juan Torres,1,2025,170,64.95
674382,Ervis Marchan,2,2017-2018,369,64.92
699302,Héctor Rodríguez,5,2021-2025,1952,64.92
813400,Jack Winnay,1,2025,61,64.88
660557,Marcos Santana,1,2015,21,64.88
800050,Chase DeLauter,3,2023-2025,574,64.87
642282,Juremi Profar,6,2013-2018,1837,64.87
573007,Kevin Mailloux,1,2009,175,64.83
4220,Ryan Zimmerman,1,2008,27,64.82
683437,Juan Diaz,1,2021,199,64.82
815908,Jesús Made,2,2024-2025,741,64.78
656928,Yordany Salva,1,2016,21,64.76
623188,Dario Pizzano,4,2012-2015,1490,64.76
595450,Carson Vitale,1,2010,82,64.72
663622,Jackson Lueck,1,2018,230,64.72
12179,Maikel Franco,6,2010-2015,2126,64.7
13510,José Ramírez,5,2011-2015,1526,64.7
815929,Jhonny Level,2,2024-2025,623,64.68
807967,Jesus Fernandez,3,2023-2025,446,64.68
23697,Julio Rodríguez,2,2018-2021,595,64.68
622802,Manuel Joseph,3,2012-2014,746,64.66
672726,Luis Alvarado,2,2017-2018,96,64.66
829830,Roniel Paulino,1,2025,51,64.65
663707,Tyler Wyatt,1,2021,65,64.65
834685,Angel Abreu,1,2025,209,64.65
620987,Alberto Velasquez,3,2012-2014,557,64.62
815897,Robert Arias,2,2024-2025,378,64.61
14712,Manuel Margot,5,2012-2017,1848,64.59
829889,Sharlisson De La Rosa,1,2025,84,64.57
832795,Sami Manzueta,1,2025,195,64.55
814456,Jo Oyama,1,2025,10,64.51
805805,Walker Jenkins,3,2023-2025,851,64.5
823759,Eric Genther,1,2025,58,64.5
21479,Nico Hoerner,2,2018-2021,60,64.5
28824,Samuel Basallo,5,2021-2025,1670,64.5
815352,Caleb Bonemer,1,2025,476,64.48
35110,Nick Kurtz,2,2024-2025,147,64.47
691458,Blaze Jordan,5,2021-2025,2084,64.46
821073,Jirvin Morillo,2,2024-2025,295,64.43
830435,Luis Morejon,1,2025,224,64.41
14162,Carlos Correa,6,2012-2018,1306,64.4
23003,Yainer Diaz,4,2017-2022,1224,64.4
821164,Yaxson Lucena,2,2024-2025,320,64.39
692640,Jorge Mendez,4,2021-2024,298,64.38
3086,Mitch Moreland,3,2008-2010,1469,64.36
33322,Matt Shaw,3,2023-2025,803,64.36
4298,Matt Wieters,2,2008-2009,693,64.33
502601,Robert Wagner,1,2009,66,64.32
22664,Gabriel Moreno,4,2017-2022,724,64.31
664919,Greg Brodzinski,1,2015,30,64.29
19892,Pavin Smith,1,2018,504,64.28
829750,Victor Santana,1,2025,208,64.28
27647,Anthony Volpe,2,2021-2022,1109,64.27
691437,Adrian Pinto,5,2021-2025,764,64.26
599813,Eduard Pinto,7,2012-2018,1751,64.25
20805,Carlos Pérez,6,2014-2021,1276,64.24
672613,Eliezer Alfonzo,6,2017-2024,1678,64.23
6341,Luis Jimenez,5,2007-2012,2164,64.23
829055,Eliomar Garces,1,2025,181,64.22
682894,Harold Diaz,1,2018,80,64.22
3516,Eric Hosmer,5,2008-2014,1164,64.21
694224,Gabriel Gonzalez,5,2021-2025,1933,64.2
808269,Gerardo Rodriguez,3,2023-2025,484,64.19
471906,Reynaldo Rodriguez,3,2007-2011,913,64.19
9015,Gordon Beckham,2,2008-2009,259,64.18
667374,Ismael Rosado,2,2016-2017,213,64.18
518987,Kyle Martin,3,2007-2009,616,64.18
623383,Edward Sappelt,2,2012-2013,48,64.15
12282,Rougned Odor,5,2012-2018,1315,64.15
553904,Marco Davalillo,2,2009-2010,326,64.15
4707,Kila Ka'aihue,2,2007-2008,1056,64.14
830471,Juan Macero,1,2025,202,64.14
814131,Derik Alcantara,3,2023-2025,482,64.14
598214,Steve Felix,2,2010-2011,224,64.13
821795,Javier Sanchez,2,2024-2025,298,64.13
18363,Victor Robles,6,2014-2021,1609,64.13
8362,Homer Bailey,2,2007-2008,25,64.1
593644,Jesus Abreu,2,2010-2011,303,64.1
670690,Aaron Bossi,1,2016,64,64.08
699694,Solardo Rodriguez,2,2021-2022,242,64.07
17350,Rafael Devers,5,2014-2018,1736,64.06
699714,Alfredo Alderete,1,2021,52,64.06
621460,Kolby Copeland,1,2012,237,64.05
665865,Juan Ramirez,3,2016-2018,603,64.05
542496,Ruddy Moreta,2,2008-2009,367,64.04
702526,Eric Snow,1,2025,104,64.02
26365,Jonny DeLuca,3,2021-2023,1203,64.01
24064,Ezequiel Tovar,4,2018-2025,991,64.01
4949,Giancarlo Stanton,6,2007-2013,1392,64.01
21534,Cal Raleigh,1,2021,199,63.99
821599,Daniel Flames,2,2024-2025,287,63.99
594032,Engel Santana,1,2010,258,63.99
811965,Joshua Kuroda-Grauer,2,2024-2025,675,63.98
829870,Freiker Betencourt,1,2025,165,63.96
28820,Moisés Ballesteros,5,2021-2025,1937,63.96
570713,Ravel Santana,3,2009-2011,632,63.96
682576,Steven Kraft,1,2018,126,63.96
5222,Justin Upton,2,2007-2008,524,63.94
10155,Mike Trout,4,2009-2012,1313,63.91
27962,Adael Amador,5,2021-2025,1903,63.91
682182,J.C. Correa,3,2021-2023,1299,63.91
643482,Richy Pedroza,2,2013-2014,448,63.9
672837,Emir Velasquez,2,2017-2018,495,63.9
9892,Jay Bruce,3,2007-2009,797,63.89
803745,Adrian Santana,3,2023-2025,911,63.88
827517,Kyle Lodise,1,2025,113,63.86
668653,Roger Gonzalez,1,2016,34,63.85
672791,Yolki Pena,2,2017-2018,469,63.84
541610,David Pino,3,2008-2010,479,63.83
16376,Michael Conforto,2,2015-2016,547,63.83
10815,Jurickson Profar,6,2011-2017,1863,63.82
825159,Yunior Amparo,1,2025,173,63.79
670043,Michael Cruz,3,2016-2018,599,63.79
543531,Travis Meiners,1,2010,130,63.78
625688,Albert Romano,1,2012,30,63.77
672900,Matthew Mercedes,2,2017-2018,263,63.76
18839,Josh Naylor,4,2015-2018,1681,63.76
544753,Ben Woodbury,2,2008-2009,302,63.74
672887,Richard Porteles,1,2017,214,63.73
676809,Tyler Friis,1,2018,318,63.71
830410,Yoelvis Betancourt,1,2025,122,63.68
672725,Yhon Perez,2,2017-2021,274,63.65
829987,Carlos Torres,1,2025,177,63.65
22275,Jake Burger,1,2017,217,63.64
593756,Ismael Aguero,3,2010-2012,465,63.64
667416,Clark Eagan,1,2017,482,63.6
829977,Ivan Torres,1,2025,135,63.59
542352,Jose Colmenares,2,2008-2009,448,63.59
17750,Max Schrock,3,2016-2018,1490,63.58
829986,Jose Riera,1,2025,200,63.58
506729,Ricardo Martinez,3,2007-2009,293,63.57
806252,Ralphy Velazquez,3,2023-2025,1025,63.56
803011,Sam Antonacci,2,2024-2025,621,63.55
596107,Eric Filia,1,2017,567,63.53
669051,Trevor Craport,1,2018,497,63.52
800345,Juan Baez,4,2022-2025,1280,63.52
516791,Marcos Perez,1,2008,21,63.52
806884,Luis Escudero,3,2023-2025,482,63.49
829051,Liberts Aponte,1,2025,193,63.47
446001,Jonel Pacheco,1,2007,547,63.46
19950,Andrés Giménez,4,2016-2021,1411,63.43
829077,Kenly Hunter,1,2025,173,63.43
29646,Caleb Durbin,4,2021-2024,1215,63.41
2396,Carlos Santana,4,2007-2010,1675,63.4
546366,Francisco Lugo,2,2009-2010,391,63.4
820944,Peson Revierre,1,2024,146,63.4
702880,Juan Sanchez,2,2022-2023,113,63.39
471872,Francisco Hernandez,2,2007-2008,598,63.39
678830,Antonio Dominguez,2,2018-2022,250,63.38
678502,Daniel Rivero,2,2018-2021,434,63.36
822619,Christian Gonzalez,2,2024-2025,323,63.35
9373,Matt McBride,3,2007-2009,1199,63.35
642762,Luis Terrero,3,2013-2015,767,63.34
18217,Brett Sullivan,4,2015-2018,1689,63.33
607266,Cameron Edman,1,2011,92,63.32
829034,Josuar Gonzalez,1,2025,228,63.32
681635,Yoandy Rea,2,2018-2021,279,63.3
829096,Ramcell Medina,1,2025,186,63.3
677580,Julio Machado,1,2018,272,63.27
15672,Austin Meadows,6,2013-2018,1910,63.27
9205,Logan Morrison,5,2007-2011,1777,63.27
5827,Wilmer Flores,8,2008-2016,3219,63.26
829970,Bryan Rodriguez,1,2025,102,63.25
808337,Adriander Mejía,3,2023-2025,498,63.25
698973,Jose Astudillo,5,2021-2025,418,63.24
672408,Julio Francisco,2,2017-2018,464,63.22
6444,Andy LaRoche,2,2007-2008,502,63.2
801563,Austin Smith,1,2025,99,63.2
9060,James Darnell,3,2009-2011,1511,63.18
699393,Pedro Ramírez,5,2021-2025,1917,63.18
830046,Santiago Almao,1,2025,189,63.18
19906,Diego Castillo,6,2015-2022,2061,63.17
24485,Tyler Cropley,1,2018,39,63.17
5933,Jean Segura,6,2007-2012,1756,63.17
10264,Brandon Belt,2,2010-2011,825,63.17
20437,Royce Lewis,4,2017-2023,978,63.17
829996,Ricardo Chirinos,1,2025,128,63.16
670357,Deion Tansel,1,2016,119,63.16
607774,Jeremy Williams,1,2011,165,63.16
500750,Michaelangel Trinidad,3,2007-2010,503,63.14
807647,Pablo Nunez,2,2024-2025,328,63.13
13624,Corey Seager,4,2012-2015,1704,63.12
655999,Alvaro Rubi,4,2015-2018,484,63.1
516729,Pedro Aguilar,2,2007-2008,380,63.09
474132,Blake Dean,2,2010-2011,657,63.08
10688,Tyler Thornburg,1,2012,21,63.07
7577,Marc Krauss,4,2009-2012,1765,63.07
821187,Juan Ortuno,2,2024-2025,297,63.05
24605,Michael Helman,1,2018,164,63.04
5361,Freddie Freeman,5,2007-2013,1771,63.03
808277,Miguel Rodríguez,3,2023-2025,413,63.02
829949,Sebastian Blanco,1,2025,248,63.01
701010,Roque Salinas,3,2022-2024,756,63.0
664677,Garrett Benge,1,2018,131,63.0
19339,Nicky Lopez,3,2016-2018,1441,62.99
805339,Nick Clarno,1,2022,19,62.98
804606,Konnor Griffin,1,2025,563,62.98
656951,Zack Shannon,1,2018,228,62.98
681702,Carlos Mendoza,1,2018,300,62.98
14221,Jorge Soler,5,2012-2016,680,62.96
13185,Orlando Arcia,6,2011-2018,2374,62.96
829751,Angel De Los Santos,1,2025,99,62.95
678686,Francisco Palma,2,2018-2021,226,62.94
513408,Jaime Landin,1,2007,309,62.93
28806,Jackson Chourio,4,2021-2025,1232,62.93
820856,Alexander Mambel,2,2024-2025,159,62.92
701649,James Triantos,5,2021-2025,1941,62.92
800473,Jefferson Rojas,4,2022-2025,1366,62.92
4016,Jerry Sands,5,2008-2012,2024,62.92
16622,Luis Urías,5,2014-2018,2018,62.91
699055,Reyden Hidalgo,3,2021-2023,352,62.89
607728,Kenny Socorro,1,2011,40,62.89
701807,Carson Benge,2,2024-2025,588,62.88
650894,Anthony Cantillo,2,2014-2015,353,62.87
514891,Angel Nieves,2,2007-2008,227,62.87
702679,Demetrio Crisantes,3,2023-2025,705,62.86
19514,Andrew Knizner,3,2016-2018,989,62.85
3892,Josh Reddick,5,2007-2011,2002,62.85
16535,Danny Jansen,6,2013-2018,1505,62.84
826928,Owen Carey,1,2025,525,62.84
20536,Vidal Bruján,5,2015-2022,1774,62.82
608330,Chris Elder,3,2011-2013,367,62.82
803849,Devin Fitz-Gerald,1,2025,173,62.82
6368,Adam Jones,1,2007,469,62.82
21707,Oswaldo Cabrera,6,2016-2023,1879,62.81
650726,Algeni Mateo,3,2014-2016,430,62.81
804446,Eddie Micheletti Jr.,2,2024-2025,554,62.79
802139,JJ Wetherholt,2,2024-2025,622,62.77
573640,Jim Linger,2,2009-2010,153,62.77
685716,Nelson Quiroz,5,2021-2025,580,62.75
829398,Franklin Primera,1,2025,172,62.75
694230,Hendry Mendez,5,2021-2025,1720,62.75
12161,Xander Bogaerts,4,2010-2013,1623,62.75
830459,Jhon Gil,1,2025,150,62.74
806953,Eduardo Tait,3,2023-2025,977,62.73
821268,Yoneiker Lugo,2,2024-2025,220,62.73
703197,Michael Arroyo,4,2022-2025,1625,62.73
800325,Luis Lara,4,2022-2025,1727,62.72
572881,Devin Goodwin,1,2010,283,62.72
829836,Joyner Perez,1,2025,105,62.69
703601,Max Clark,3,2023-2025,1130,62.69
12164,Miguel Sanó,6,2010-2016,1923,62.67
6274,Carlos Quentin,1,2007,135,62.67
19961,Colton Welker,5,2016-2022,1193,62.67
4316,Daniel Murphy,2,2007-2008,966,62.65
800522,Josue Briceño,4,2022-2025,1025,62.63
804114,Luke Pelzer,1,2025,83,62.63
829991,Wesly Castillo,1,2025,150,62.62
665850,Cristian Inoa,4,2016-2022,1095,62.61
645440,Brad Guenther,1,2013,78,62.6
664371,Eddy Reynoso,4,2015-2018,498,62.6
832559,Diego Contreras,1,2025,132,62.6
518753,Joseph Hage,3,2007-2009,495,62.59
829069,Elorky Rodriguez,1,2025,226,62.59
572923,Nathan Hines,2,2009-2010,201,62.56
656943,JJ Schwarz,1,2018,25,62.56
694876,Cooper Ingle,3,2023-2025,987,62.56
701527,Mike Sirota,1,2025,270,62.55
691003,Tre' Morgan,3,2023-2025,895,62.52
829827,Yorvit Diaz,1,2025,122,62.52
821523,Victor Leal,2,2024-2025,238,62.5
675980,Matt Winaker,1,2018,516,62.49
667367,Jorge Perez,3,2016-2018,415,62.49
800132,Oliver Cedeno,1,2023,149,62.48
643365,Brian Holberton,3,2013-2015,720,62.48
806985,Yoeilin Cespedes,3,2023-2025,791,62.47
821236,Efren Teran,2,2024-2025,237,62.46
700164,Bryant Betancourt,5,2021-2025,1533,62.45
29622,Sal Frelick,3,2021-2023,926,62.45
621481,Brennan Metzger,2,2012-2014,119,62.45
808234,Eduardo Quintero,3,2023-2025,1098,62.44
6184,J.D. Martinez,4,2009-2012,1149,62.44
544244,Rickey Noland,1,2008,49,62.41
806275,Jack Goodman,1,2025,52,62.41
668597,Jorge Sequera,3,2016-2018,424,62.4
641340,Elliott Barzilli,1,2017,67,62.39
10847,Andrelton Simmons,3,2010-2012,1042,62.39
593965,Alex Mercedes,5,2010-2014,1200,62.38
660505,Eddy Vizcaino,4,2015-2018,493,62.36
664981,Jordan Verdon,1,2018,54,62.34
17027,Alex Verdugo,5,2014-2018,2159,62.34
12677,O'Koyea Dickson,4,2011-2014,1709,62.34
691620,Jeferson Quero,4,2021-2025,1163,62.33
691378,Lyonell James,3,2021-2023,677,62.33
806957,Alfredo Duno,3,2023-2025,829,62.33
827410,Anderson Araujo,1,2025,183,62.32
660613,Ronaldo Hernández,6,2015-2022,1800,62.32
672555,Wilfred Astudillo,4,2017-2022,700,62.31
823866,Eduardo Ponce,2,2024-2025,368,62.31
502716,Darren Blocker,1,2007,134,62.3
664678,Marcus Mastrobuoni,2,2015-2017,207,62.28
802990,Dalton Davis,1,2025,156,62.27
6201,Nate Schierholtz,2,2007-2008,816,62.27
594091,Belarmino Campos,3,2010-2012,425,62.27
4579,Starlin Castro,4,2007-2010,1098,62.27
815464,Lisbel Diaz,3,2023-2025,994,62.26
10681,Gio Urshela,7,2009-2016,2809,62.26
570787,Jesus Vasquez,4,2009-2012,752,62.24
829747,Daniel Hernandez,1,2025,148,62.24
800198,Cristofer Torin,4,2022-2025,1565,62.23
699032,Christian Avendano,1,2021,89,62.23
664289,Ignacio Otano,4,2015-2018,493,62.22
675845,Rochest Cruz,2,2017-2018,358,62.22
829931,Carlos Martinez,1,2025,108,62.22
9147,Taylor Green,5,2007-2011,2272,62.21
26288,Adley Rutschman,2,2021-2022,627,62.21
678607,Juan Pie,1,2018,255,62.21
694410,LuJames Groover,3,2023-2025,923,62.2
31595,Brooks Lee,4,2022-2025,865,62.2
829717,Jose Pitre,1,2025,64,62.19
825582,Nate George,1,2025,370,62.16
621598,Javier Betancourt,6,2012-2017,2231,62.16
16472,Rhys Hoskins,3,2015-2017,1631,62.16
7485,Blake DeWitt,3,2007-2009,1079,62.15
606200,Jose Rojas,5,2011-2015,852,62.15
570804,Harlington Beltre,1,2009,31,62.15
829809,Ire Garcia,1,2025,116,62.14
9063,Alexi Amarista,6,2007-2012,2202,62.13
808232,Alirio Ferrebus,3,2023-2025,447,62.12
542479,Geancarlo Mendez,4,2008-2011,1113,62.12
835485,David Shirley,1,2025,90,62.11
474854,Luke Murton,1,2010,451,62.1
570807,Luis Perez,6,2009-2014,852,62.1
11902,Hanser Alberto,7,2010-2017,2340,62.1
650987,Antony Fuentes,4,2014-2017,604,62.09
660511,Nerluis Martinez,3,2015-2017,322,62.08
2677,Jordan Pacheco,3,2007-2010,1282,62.08
6878,Chris Coghlan,3,2007-2009,1183,62.08
676595,Jake Scheiner,1,2018,517,62.08
665137,Orlando Olivera,1,2015,48,62.08
813715,Khadim Diaw,2,2024-2025,268,62.08
9218,Paul Goldschmidt,3,2009-2011,1387,62.08
600971,Juan Santana,4,2011-2014,837,62.07
808289,Julio Zayas,3,2023-2025,506,62.07
806367,Turner Hill,1,2023,347,62.06
694197,Angel Genao,5,2021-2025,1581,62.05
672867,Estamy Urena,2,2017-2018,360,62.04
22650,Jordan Diaz,6,2017-2024,1860,62.04
16403,Francisco Mejía,5,2013-2018,1853,62.04
573101,Jared Prince,1,2010,525,62.02
19556,Yordan Alvarez,3,2016-2018,827,62.02
503325,Rogelio Del Campo,2,2007-2008,99,62.01
5928,Daric Barton,3,2007-2009,974,62.01
23986,Curtis Mead,5,2021-2025,1560,62.01
641970,Michael Perri,1,2018,219,62.01
633708,Bolivar Perez,2,2013-2014,73,62.0
680662,Wilson Valdez,2,2018-2021,278,62.0
813664,Justin DeCriscio,1,2025,49,61.99
19251,Pete Alonso,2,2017-2018,967,61.99
9893,Colby Rasmus,2,2007-2008,966,61.99
677621,Joerlin De Los Santos,2,2018-2021,359,61.99
5631,Matt Kemp,1,2007,174,61.98
25332,Endy Rodríguez,5,2018-2024,1462,61.98
501658,Ronny Calderon,2,2008-2009,72,61.97
642337,Kevin Mendoza,4,2013-2017,389,61.97
10306,Oswaldo Arcia,8,2008-2015,2111,61.97
542270,Cesar Osuna,2,2008-2009,486,61.96
642362,Brallan Perez,6,2013-2018,1407,61.95
